date,year,day_of_year,month,hour,load_mw,wind_mw,solar_mw,net_load_mw,load_dev,wind_dev,solar_dev
2017-06-01,2017,152,6,0,35135.990000000005,4041.8,0.0,31094.190000000006,-1.7912051166145335,-0.7409026861654151,
2017-06-01,2017,152,6,1,33732.990000000005,3689.53,0.0,30043.460000000006,-1.8310036169833364,-0.780468752055823,
2017-06-01,2017,152,6,2,32904.19999999999,3477.6500000000005,0.0,29426.54999999999,-1.8369965899187848,-0.6827579833180273,
2017-06-01,2017,152,6,3,33014.7,3502.7199999999993,0.0,29511.979999999996,-1.7655392170302449,-0.590115470069483,
2017-06-01,2017,152,6,4,34525.990000000005,3822.4500000000003,0.0,30703.540000000005,-1.4991200626320695,-0.516957442863171,
2017-06-01,2017,152,6,5,36995.92,3846.0999999999995,0.0,33149.82,-1.0386208169624498,-0.42717088519246255,
2017-06-01,2017,152,6,6,38202.94000000002,3970.5800000000004,0.0,34232.360000000015,-0.9974550418822552,-0.3097260229377035,
2017-06-01,2017,152,6,7,39700.63999999999,4172.85,327.35,35200.439999999995,-1.1652027169011032,-0.17854487341515443,0.5785879060620958
2017-06-01,2017,152,6,8,41769.499999999985,4929.150000000001,1647.2,35193.14999999999,-1.3718553669158213,-0.11335503993957892,0.11128273188054608
2017-06-01,2017,152,6,9,44114.130000000005,5806.960000000001,2918.4900000000007,35388.68000000001,-1.5780865522448793,-0.08955576520668088,-0.16441518314261525
2017-06-01,2017,152,6,10,46063.930000000015,6718.21,4042.9800000000005,35302.74000000001,-1.6780611787321167,-0.04148725774723684,-1.1120864248253859
2017-06-01,2017,152,6,11,47882.98000000002,6693.179999999999,5336.5599999999995,35853.24000000002,-1.708658511262302,0.01457638329690541,-1.3848675348001807
2017-06-01,2017,152,6,12,49420.20000000002,6847.3,6408.17,36164.73000000002,-1.7946375927620126,0.13662288778962522,-1.3957277020566765
2017-06-01,2017,152,6,13,50193.579999999994,7078.159999999999,7277.64,35837.78,-1.840023763134598,0.17055468753362657,-1.1224689369535243
2017-06-01,2017,152,6,14,51072.30000000001,7803.91,7434.44,35833.95000000001,-1.870703814018513,0.2792422947513365,-1.0867595671802701
2017-06-01,2017,152,6,15,51420.02000000001,8676.32,7053.67,35690.03000000001,-1.880719811197055,0.3620916961635021,-1.3644525983068456
2017-06-01,2017,152,6,16,51443.099999999984,9450.28,5973.5199999999995,36019.29999999999,-1.797069750640091,0.44191655872905866,-1.7014193164747153
2017-06-01,2017,152,6,17,50699.99000000001,10447.41,4799.94,35452.640000000014,-1.6970493177457047,0.46458853138356704,-1.7212355248456082
2017-06-01,2017,152,6,18,49233.23999999998,11229.44,3386.3400000000006,34617.45999999998,-1.6661238141425478,0.40569628001578384,-1.3007065006888485
2017-06-01,2017,152,6,19,48101.35999999999,11554.71,1955.3200000000002,34591.329999999994,-1.556187262678713,0.29949328929615937,-0.5887342801938914
2017-06-01,2017,152,6,20,46899.35999999999,10242.890000000001,788.26,35868.20999999999,-1.5942187536113583,0.05979206536986476,-0.4197994987468674
2017-06-01,2017,152,6,21,43918.24000000001,8504.289999999999,0.0,35413.95000000001,-1.6943541499763113,-0.1914275871414232,0.0
2017-06-01,2017,152,6,22,40446.52999999999,6787.0,0.0,33659.52999999999,-1.6933316121158124,-0.460610917420974,
2017-06-01,2017,152,6,23,37575.450000000004,6507.2300000000005,0.0,31068.220000000005,-1.7099267471589892,-0.42788044321461915,
2017-06-02,2017,153,6,0,35437.049999999996,6389.740000000001,0.0,29047.309999999994,-1.7273883973166337,-0.3834364678146582,
2017-06-02,2017,153,6,1,34065.97,6457.08,0.0,27608.89,-1.755870546744364,-0.364315688687044,
2017-06-02,2017,153,6,2,33251.32,5186.06,0.0,28065.26,-1.7554038005099553,-0.4341133390288595,
2017-06-02,2017,153,6,3,33482.52,4319.78,0.0,29162.739999999998,-1.6515281953799221,-0.4754195761125791,
2017-06-02,2017,153,6,4,34921.99000000001,3735.06,0.0,31186.93000000001,-1.403946229187478,-0.5297171374715103,
2017-06-02,2017,153,6,5,37048.03,3411.29,0.0,33636.74,-1.0271007278260085,-0.4905604813299847,
2017-06-02,2017,153,6,6,38592.82,3135.6299999999997,0.0,35457.19,-0.9098410665228468,-0.43763943492589963,
2017-06-02,2017,153,6,7,40610.780000000006,2818.79,334.19000000000005,37457.8,-0.969045302159875,-0.4004299857722885,0.5992814733577885
2017-06-02,2017,153,6,8,43014.95999999999,1992.92,1641.53,39380.509999999995,-1.1158949244013876,-0.5365661186685461,0.1010096434767248
2017-06-02,2017,153,6,9,45630.30999999998,1555.4399999999998,2901.01,41173.85999999998,-1.2875259672065926,-0.649166757433831,-0.19581619271740905
2017-06-02,2017,153,6,10,47849.54999999999,1420.5600000000002,3739.0600000000004,42689.92999999999,-1.3759038305663498,-0.7891950636451047,-1.6996978997994059
2017-06-02,2017,153,6,11,49398.48000000001,1379.8200000000002,4934.3,43084.36000000001,-1.4789562072671054,-0.7494521454043483,-2.1073821284238883
2017-06-02,2017,153,6,12,51017.9,1480.5,5922.37,43615.03,-1.5626127303620392,-0.6974292148242082,-2.20002235071584
2017-06-02,2017,153,6,13,51990.000000000015,1689.8999999999999,6212.97,44087.13000000001,-1.5969225658095718,-0.7571400901308062,-2.872304582210253
2017-06-02,2017,153,6,14,51683.229999999996,2468.5699999999997,6352.9400000000005,42861.719999999994,-1.7882545612076992,-0.6638396633049604,-2.7460808794479763
2017-06-02,2017,153,6,15,50854.61999999999,3427.28,6035.049999999999,41392.28999999999,-1.9563640717857824,-0.6570859391837709,-3.165685992794149
2017-06-02,2017,153,6,16,50038.620000000024,4633.53,5313.460000000001,40091.63000000003,-1.982234720541287,-0.6637815713917612,-2.7343124061091664
2017-06-02,2017,153,6,17,48794.20999999999,5909.58,4271.59,38613.03999999999,-1.9498211260586285,-0.5199485799830771,-2.709262696294082
